,from,to,sizeofFrom,sizeofTo,sizeofFromandTo
90,男性受け,同棲,37,1,0
91,男性受け,近親相姦,37,1,1
92,男性受け,同居,37,1,1
93,男性受け,売春/援交,37,1,1
94,男性受け,触手,37,1,0
95,男性受け,くすぐり,37,1,0
96,男性受け,着衣,37,1,0
97,男性受け,母乳,37,1,0
98,男性受け,輪姦,37,1,1
99,男性受け,制服,37,1,0
100,男性受け,けもの/獣化,37,1,0
101,男性受け,主従,37,1,0
102,男性受け,女体化,37,1,1
103,男性受け,幼なじみ,37,1,1
104,男性受け,ほのぼの,37,1,0
105,男性受け,レイプ,37,1,0
106,男性受け,おもちゃ,37,1,0
107,男性受け,双子,37,1,0
108,男性受け,おねショタ,37,1,0
109,男性受け,ロングヘア,37,1,0
110,男性受け,ヤンデレ,37,1,0
111,男性受け,時間停止,37,1,1
112,男性受け,ゲイ/男同士,37,1,0
113,男性受け,監禁,37,1,0
114,男性受け,妖怪,37,1,0
115,男性受け,強気受け,37,1,0
116,男性受け,ノーマルプレイ,37,1,0
117,男性受け,着物/和服,37,1,0
118,男性受け,ツルペタ,37,1,0
119,男性受け,靴下,37,1,0
120,男性受け,金髪,37,1,0
121,男性受け,褐色/日焼け,37,1,0
122,男性受け,ロボット/アンドロイド,37,1,0
123,男性受け,ホラー,37,1,0
124,男性受け,ラブコメ,37,1,0
125,男性受け,ツンデレ,37,1,0
126,男性受け,ぶっかけ,37,1,0
127,男性受け,黒髪,37,1,0
128,男性受け,幽霊,37,1,0
129,男性受け,アヘ顔,37,1,0
130,男性受け,ショタ,37,1,0
131,男性受け,ムチムチ,37,1,1
132,男性受け,拘束,37,1,0
133,男性受け,姉妹,37,1,1
134,男性受け,不良/ヤンキー,37,1,1
135,男性受け,オールハッピー,37,1,1
136,男性受け,体育会系/スポーツ選手,37,1,0
137,男性受け,鬼畜,37,1,1
138,男性受け,メガネ,37,1,0
139,男性受け,ごっくん/食ザー,37,1,0
140,男性受け,水着,37,1,0
141,淫語,ラブラブ/あまあま,32,29,5
142,淫語,手コキ,32,28,8
143,淫語,言葉責め,32,27,10
144,淫語,中出し,32,26,7
145,淫語,癒し,32,21,6
146,淫語,耳舐め,32,19,4
147,淫語,寝取られ,32,16,4
148,淫語,オナニー,32,16,5
149,淫語,お姉さん,32,16,3
150,淫語,ロリ,32,16,1
151,淫語,焦らし,32,15,1
152,淫語,逆レイプ,32,14,6
153,淫語,逆転無し,32,14,6
154,淫語,フェラチオ,32,13,1
155,淫語,パイズリ,32,12,3
156,淫語,おっぱい,32,12,3
157,淫語,調教,32,11,4
158,淫語,洗脳,32,11,2
159,淫語,耳かき,32,11,0
160,淫語,連続絶頂,32,10,2
161,淫語,強制/無理矢理,32,10,4
162,淫語,人外娘/モンスター娘,32,9,0
163,淫語,メイド,32,9,4
164,淫語,少女,32,8,0
165,淫語,フタナリ,32,7,2
166,淫語,SM,32,7,4
167,淫語,ささやき,32,7,3
168,淫語,レズ/女同士,32,6,0
169,淫語,足コキ,32,6,4
170,淫語,学校/学園,32,6,0
171,淫語,妹,32,6,1
172,淫語,催眠音声,32,6,1
173,淫語,ギャル,32,6,1
174,淫語,乳首/乳輪,32,5,1
175,淫語,退廃/背徳/インモラル,32,5,0
176,淫語,貧乳/微乳,32,5,0
177,淫語,羞恥/恥辱,32,5,2
178,淫語,マニアック/変態,32,5,1
179,淫語,学生,32,4,1
180,淫語,初体験,32,4,0
181,淫語,ビッチ,32,4,0
182,淫語,年下攻め,32,4,0
183,淫語,恋人同士,32,3,1
184,淫語,複数プレイ/乱交,32,3,1
185,淫語,変身ヒロイン,32,3,0
186,淫語,百合,32,3,0
187,淫語,ハーレム,32,3,0
188,淫語,感動,32,3,0
189,淫語,先輩/後輩,32,3,1
190,淫語,サキュバス/淫魔,32,3,1
191,淫語,芸能人/アイドル/モデル,32,3,0
192,淫語,女性視点,32,3,0
193,淫語,女王様/お姫様,32,3,2
194,淫語,アナル,32,3,2
195,淫語,実姉,32,3,2
196,淫語,色仕掛け,32,3,0
197,淫語,巨乳/爆乳,32,3,1
198,淫語,フェチ,32,3,0
199,淫語,日常/生活,32,3,1
200,淫語,童貞,32,3,1
201,淫語,男の娘,32,2,1
202,淫語,処女,32,2,0
203,淫語,外国人,32,2,0
204,淫語,ローション,32,2,0
205,淫語,女教師,32,2,0
206,淫語,ファンタジー,32,2,1
207,淫語,屋外,32,2,1
208,淫語,和姦,32,2,1
209,淫語,シリアス,32,2,0
210,淫語,人妻,32,2,0
211,淫語,脚,32,2,1
212,淫語,シリーズもの,32,2,0
213,淫語,悪堕ち,32,2,0
214,淫語,天使/悪魔,32,2,0
215,淫語,お嬢様,32,2,0
216,淫語,獣耳,32,2,0
217,淫語,OL,32,2,1
218,淫語,奴隷,32,2,0
219,淫語,ツインテール,32,2,0
220,淫語,露出,32,2,1
221,淫語,催眠,32,2,0
222,淫語,魔法使い/魔女,32,2,0
223,淫語,年上,32,2,1
224,淫語,女装,32,2,1
225,淫語,純愛,32,2,2
226,淫語,健全,32,1,0
227,淫語,セーラー服,32,1,0
228,淫語,妊娠/孕ませ,32,1,1
229,淫語,浮気,32,1,0
230,淫語,同棲,32,1,0
231,淫語,近親相姦,32,1,0
232,淫語,同居,32,1,0
233,淫語,売春/援交,32,1,0
234,淫語,触手,32,1,0
235,淫語,くすぐり,32,1,0
236,淫語,着衣,32,1,0
237,淫語,母乳,32,1,0
238,淫語,輪姦,32,1,0
239,淫語,制服,32,1,0
240,淫語,けもの/獣化,32,1,0
241,淫語,主従,32,1,1
242,淫語,女体化,32,1,0
243,淫語,幼なじみ,32,1,0
244,淫語,ほのぼの,32,1,0
245,淫語,レイプ,32,1,1
246,淫語,おもちゃ,32,1,0
247,淫語,双子,32,1,0
248,淫語,おねショタ,32,1,0
249,淫語,ロングヘア,32,1,0
250,淫語,ヤンデレ,32,1,0
251,淫語,時間停止,32,1,0
252,淫語,ゲイ/男同士,32,1,0
253,淫語,監禁,32,1,0
254,淫語,妖怪,32,1,0
255,淫語,強気受け,32,1,1
256,淫語,ノーマルプレイ,32,1,0
257,淫語,着物/和服,32,1,0
258,淫語,ツルペタ,32,1,0
259,淫語,靴下,32,1,0
260,淫語,金髪,32,1,0
261,淫語,褐色/日焼け,32,1,1
262,淫語,ロボット/アンドロイド,32,1,0
263,淫語,ホラー,32,1,0
264,淫語,ラブコメ,32,1,1
265,淫語,ツンデレ,32,1,0
266,淫語,ぶっかけ,32,1,0
267,淫語,黒髪,32,1,0
268,淫語,幽霊,32,1,0
269,淫語,アヘ顔,32,1,1
270,淫語,ショタ,32,1,0
271,淫語,ムチムチ,32,1,0
272,淫語,拘束,32,1,0
273,淫語,姉妹,32,1,0
274,淫語,不良/ヤンキー,32,1,0
275,淫語,オールハッピー,32,1,0
276,淫語,体育会系/スポーツ選手,32,1,0
277,淫語,鬼畜,32,1,0
278,淫語,メガネ,32,1,0
279,淫語,ごっくん/食ザー,32,1,1
280,淫語,水着,32,1,0
281,ラブラブ/あまあま,手コキ,29,28,5
282,ラブラブ/あまあま,言葉責め,29,27,2
283,ラブラブ/あまあま,中出し,29,26,9
284,ラブラブ/あまあま,癒し,29,21,8
285,ラブラブ/あまあま,耳舐め,29,19,7
286,ラブラブ/あまあま,寝取られ,29,16,0
287,ラブラブ/あまあま,オナニー,29,16,1
288,ラブラブ/あまあま,お姉さん,29,16,6
289,ラブラブ/あまあま,ロリ,29,16,4
290,ラブラブ/あまあま,焦らし,29,15,2
291,ラブラブ/あまあま,逆レイプ,29,14,0
292,ラブラブ/あまあま,逆転無し,29,14,1
293,ラブラブ/あまあま,フェラチオ,29,13,9
294,ラブラブ/あまあま,パイズリ,29,12,2
295,ラブラブ/あまあま,おっぱい,29,12,2
296,ラブラブ/あまあま,調教,29,11,0
297,ラブラブ/あまあま,洗脳,29,11,0
298,ラブラブ/あまあま,耳かき,29,11,3
299,ラブラブ/あまあま,連続絶頂,29,10,3
300,ラブラブ/あまあま,強制/無理矢理,29,10,0
301,ラブラブ/あまあま,人外娘/モンスター娘,29,9,2
302,ラブラブ/あまあま,メイド,29,9,2
303,ラブラブ/あまあま,少女,29,8,2
304,ラブラブ/あまあま,フタナリ,29,7,2
305,ラブラブ/あまあま,SM,29,7,0
306,ラブラブ/あまあま,ささやき,29,7,3
307,ラブラブ/あまあま,レズ/女同士,29,6,2
308,ラブラブ/あまあま,足コキ,29,6,0
309,ラブラブ/あまあま,学校/学園,29,6,0
310,ラブラブ/あまあま,妹,29,6,5
311,ラブラブ/あまあま,催眠音声,29,6,0
312,ラブラブ/あまあま,ギャル,29,6,1
313,ラブラブ/あまあま,乳首/乳輪,29,5,0
314,ラブラブ/あまあま,退廃/背徳/インモラル,29,5,0
315,ラブラブ/あまあま,貧乳/微乳,29,5,2
316,ラブラブ/あまあま,羞恥/恥辱,29,5,0
317,ラブラブ/あまあま,マニアック/変態,29,5,0
318,ラブラブ/あまあま,学生,29,4,1
319,ラブラブ/あまあま,初体験,29,4,2
320,ラブラブ/あまあま,ビッチ,29,4,0
321,ラブラブ/あまあま,年下攻め,29,4,0
322,ラブラブ/あまあま,恋人同士,29,3,1
323,ラブラブ/あまあま,複数プレイ/乱交,29,3,0
324,ラブラブ/あまあま,変身ヒロイン,29,3,0
325,ラブラブ/あまあま,百合,29,3,1
326,ラブラブ/あまあま,ハーレム,29,3,1
327,ラブラブ/あまあま,感動,29,3,0
328,ラブラブ/あまあま,先輩/後輩,29,3,1
329,ラブラブ/あまあま,サキュバス/淫魔,29,3,1
330,ラブラブ/あまあま,芸能人/アイドル/モデル,29,3,2
331,ラブラブ/あまあま,女性視点,29,3,0
332,ラブラブ/あまあま,女王様/お姫様,29,3,0
333,ラブラブ/あまあま,アナル,29,3,1
334,ラブラブ/あまあま,実姉,29,3,1
335,ラブラブ/あまあま,色仕掛け,29,3,0
336,ラブラブ/あまあま,巨乳/爆乳,29,3,2
337,ラブラブ/あまあま,フェチ,29,3,0
338,ラブラブ/あまあま,日常/生活,29,3,2
339,ラブラブ/あまあま,童貞,29,3,1
340,ラブラブ/あまあま,男の娘,29,2,0
341,ラブラブ/あまあま,処女,29,2,2
342,ラブラブ/あまあま,外国人,29,2,1
343,ラブラブ/あまあま,ローション,29,2,0
344,ラブラブ/あまあま,女教師,29,2,0
345,ラブラブ/あまあま,ファンタジー,29,2,0
346,ラブラブ/あまあま,屋外,29,2,2
347,ラブラブ/あまあま,和姦,29,2,1
348,ラブラブ/あまあま,シリアス,29,2,1
349,ラブラブ/あまあま,人妻,29,2,0
350,ラブラブ/あまあま,脚,29,2,0
351,ラブラブ/あまあま,シリーズもの,29,2,1
352,ラブラブ/あまあま,悪堕ち,29,2,0
353,ラブラブ/あまあま,天使/悪魔,29,2,1
354,ラブラブ/あまあま,お嬢様,29,2,0
355,ラブラブ/あまあま,獣耳,29,2,1
356,ラブラブ/あまあま,OL,29,2,1
357,ラブラブ/あまあま,奴隷,29,2,0
358,ラブラブ/あまあま,ツインテール,29,2,0
359,ラブラブ/あまあま,露出,29,2,0
360,ラブラブ/あまあま,催眠,29,2,0
361,ラブラブ/あまあま,魔法使い/魔女,29,2,0
362,ラブラブ/あまあま,年上,29,2,1
363,ラブラブ/あまあま,女装,29,2,0
364,ラブラブ/あまあま,純愛,29,2,1
365,ラブラブ/あまあま,健全,29,1,0
366,ラブラブ/あまあま,セーラー服,29,1,0
367,ラブラブ/あまあま,妊娠/孕ませ,29,1,0
368,ラブラブ/あまあま,浮気,29,1,0
369,ラブラブ/あまあま,同棲,29,1,0
370,ラブラブ/あまあま,近親相姦,29,1,1
371,ラブラブ/あまあま,同居,29,1,1
372,ラブラブ/あまあま,売春/援交,29,1,0
373,ラブラブ/あまあま,触手,29,1,0
374,ラブラブ/あまあま,くすぐり,29,1,0
375,ラブラブ/あまあま,着衣,29,1,0
376,ラブラブ/あまあま,母乳,29,1,0
377,ラブラブ/あまあま,輪姦,29,1,0
378,ラブラブ/あまあま,制服,29,1,0
379,ラブラブ/あまあま,けもの/獣化,29,1,0
380,ラブラブ/あまあま,主従,29,1,0
381,ラブラブ/あまあま,女体化,29,1,0
382,ラブラブ/あまあま,幼なじみ,29,1,0
383,ラブラブ/あまあま,ほのぼの,29,1,0
384,ラブラブ/あまあま,レイプ,29,1,0
385,ラブラブ/あまあま,おもちゃ,29,1,0
386,ラブラブ/あまあま,双子,29,1,1
387,ラブラブ/あまあま,おねショタ,29,1,1
388,ラブラブ/あまあま,ロングヘア,29,1,0
389,ラブラブ/あまあま,ヤンデレ,29,1,1
390,ラブラブ/あまあま,時間停止,29,1,0
391,ラブラブ/あまあま,ゲイ/男同士,29,1,0
392,ラブラブ/あまあま,監禁,29,1,0
393,ラブラブ/あまあま,妖怪,29,1,0
394,ラブラブ/あまあま,強気受け,29,1,0
395,ラブラブ/あまあま,ノーマルプレイ,29,1,1
396,ラブラブ/あまあま,着物/和服,29,1,0
397,ラブラブ/あまあま,ツルペタ,29,1,0
398,ラブラブ/あまあま,靴下,29,1,0
399,ラブラブ/あまあま,金髪,29,1,0
400,ラブラブ/あまあま,褐色/日焼け,29,1,0
401,ラブラブ/あまあま,ロボット/アンドロイド,29,1,1
402,ラブラブ/あまあま,ホラー,29,1,0
403,ラブラブ/あまあま,ラブコメ,29,1,0
404,ラブラブ/あまあま,ツンデレ,29,1,0
405,ラブラブ/あまあま,ぶっかけ,29,1,0
406,ラブラブ/あまあま,黒髪,29,1,0
407,ラブラブ/あまあま,幽霊,29,1,0
408,ラブラブ/あまあま,アヘ顔,29,1,0
409,ラブラブ/あまあま,ショタ,29,1,0
410,ラブラブ/あまあま,ムチムチ,29,1,0
411,ラブラブ/あまあま,拘束,29,1,0
412,ラブラブ/あまあま,姉妹,29,1,1
413,ラブラブ/あまあま,不良/ヤンキー,29,1,0
414,ラブラブ/あまあま,オールハッピー,29,1,0
415,ラブラブ/あまあま,体育会系/スポーツ選手,29,1,0
416,ラブラブ/あまあま,鬼畜,29,1,0
417,ラブラブ/あまあま,メガネ,29,1,1
418,ラブラブ/あまあま,ごっくん/食ザー,29,1,1
419,ラブラブ/あまあま,水着,29,1,1
420,手コキ,言葉責め,28,27,4
421,手コキ,中出し,28,26,8
422,手コキ,癒し,28,21,5
423,手コキ,耳舐め,28,19,4
424,手コキ,寝取られ,28,16,1
425,手コキ,オナニー,28,16,5
426,手コキ,お姉さん,28,16,2
427,手コキ,ロリ,28,16,3
428,手コキ,焦らし,28,15,8
429,手コキ,逆レイプ,28,14,0
430,手コキ,逆転無し,28,14,8
431,手コキ,フェラチオ,28,13,4
432,手コキ,パイズリ,28,12,5
433,手コキ,おっぱい,28,12,5
434,手コキ,調教,28,11,2
435,手コキ,洗脳,28,11,4
436,手コキ,耳かき,28,11,1
437,手コキ,連続絶頂,28,10,2
438,手コキ,強制/無理矢理,28,10,4
439,手コキ,人外娘/モンスター娘,28,9,0
440,手コキ,メイド,28,9,2
441,手コキ,少女,28,8,2
442,手コキ,フタナリ,28,7,0
443,手コキ,SM,28,7,0
444,手コキ,ささやき,28,7,3
445,手コキ,レズ/女同士,28,6,0
446,手コキ,足コキ,28,6,3
447,手コキ,学校/学園,28,6,0
448,手コキ,妹,28,6,1
449,手コキ,催眠音声,28,6,1
450,手コキ,ギャル,28,6,0
451,手コキ,乳首/乳輪,28,5,3
452,手コキ,退廃/背徳/インモラル,28,5,1
453,手コキ,貧乳/微乳,28,5,0
454,手コキ,羞恥/恥辱,28,5,0
455,手コキ,マニアック/変態,28,5,1
456,手コキ,学生,28,4,0
457,手コキ,初体験,28,4,0
458,手コキ,ビッチ,28,4,0
459,手コキ,年下攻め,28,4,0
460,手コキ,恋人同士,28,3,2
461,手コキ,複数プレイ/乱交,28,3,0
462,手コキ,変身ヒロイン,28,3,1
463,手コキ,百合,28,3,0
464,手コキ,ハーレム,28,3,2
465,手コキ,感動,28,3,0
466,手コキ,先輩/後輩,28,3,2
467,手コキ,サキュバス/淫魔,28,3,0
468,手コキ,芸能人/アイドル/モデル,28,3,0
469,手コキ,女性視点,28,3,0
470,手コキ,女王様/お姫様,28,3,0
471,手コキ,アナル,28,3,0
472,手コキ,実姉,28,3,0
473,手コキ,色仕掛け,28,3,0
474,手コキ,巨乳/爆乳,28,3,0
475,手コキ,フェチ,28,3,0
476,手コキ,日常/生活,28,3,0
477,手コキ,童貞,28,3,1
478,手コキ,男の娘,28,2,0
479,手コキ,処女,28,2,0
480,手コキ,外国人,28,2,0
481,手コキ,ローション,28,2,0
482,手コキ,女教師,28,2,0
483,手コキ,ファンタジー,28,2,0
484,手コキ,屋外,28,2,0
485,手コキ,和姦,28,2,0
486,手コキ,シリアス,28,2,0
487,手コキ,人妻,28,2,0
488,手コキ,脚,28,2,1
489,手コキ,シリーズもの,28,2,0
490,手コキ,悪堕ち,28,2,1
491,手コキ,天使/悪魔,28,2,0
492,手コキ,お嬢様,28,2,0
493,手コキ,獣耳,28,2,0
494,手コキ,OL,28,2,1
495,手コキ,奴隷,28,2,0
496,手コキ,ツインテール,28,2,0
497,手コキ,露出,28,2,0
498,手コキ,催眠,28,2,0
499,手コキ,魔法使い/魔女,28,2,0
500,手コキ,年上,28,2,0
501,手コキ,女装,28,2,0
502,手コキ,純愛,28,2,1
503,手コキ,健全,28,1,0
504,手コキ,セーラー服,28,1,0
505,手コキ,妊娠/孕ませ,28,1,0
506,手コキ,浮気,28,1,0
507,手コキ,同棲,28,1,1
508,手コキ,近親相姦,28,1,0
509,手コキ,同居,28,1,0
510,手コキ,売春/援交,28,1,0
511,手コキ,触手,28,1,0
512,手コキ,くすぐり,28,1,0
513,手コキ,着衣,28,1,0
514,手コキ,母乳,28,1,0
515,手コキ,輪姦,28,1,0
516,手コキ,制服,28,1,1
517,手コキ,けもの/獣化,28,1,0
518,手コキ,主従,28,1,1
519,手コキ,女体化,28,1,0
520,手コキ,幼なじみ,28,1,1
521,手コキ,ほのぼの,28,1,1
522,手コキ,レイプ,28,1,0
523,手コキ,おもちゃ,28,1,1
524,手コキ,双子,28,1,0
525,手コキ,おねショタ,28,1,0
526,手コキ,ロングヘア,28,1,0
527,手コキ,ヤンデレ,28,1,0
528,手コキ,時間停止,28,1,0
529,手コキ,ゲイ/男同士,28,1,0
530,手コキ,監禁,28,1,0
531,手コキ,妖怪,28,1,0
532,手コキ,強気受け,28,1,0
533,手コキ,ノーマルプレイ,28,1,0
534,手コキ,着物/和服,28,1,0
535,手コキ,ツルペタ,28,1,0
536,手コキ,靴下,28,1,0
537,手コキ,金髪,28,1,0
538,手コキ,褐色/日焼け,28,1,0
539,手コキ,ロボット/アンドロイド,28,1,0
540,手コキ,ホラー,28,1,0
541,手コキ,ラブコメ,28,1,1
542,手コキ,ツンデレ,28,1,0
543,手コキ,ぶっかけ,28,1,0
544,手コキ,黒髪,28,1,0
545,手コキ,幽霊,28,1,0
546,手コキ,アヘ顔,28,1,0
547,手コキ,ショタ,28,1,0
548,手コキ,ムチムチ,28,1,0
549,手コキ,拘束,28,1,0
550,手コキ,姉妹,28,1,0
551,手コキ,不良/ヤンキー,28,1,0
552,手コキ,オールハッピー,28,1,0
553,手コキ,体育会系/スポーツ選手,28,1,0
554,手コキ,鬼畜,28,1,0
555,手コキ,メガネ,28,1,0
556,手コキ,ごっくん/食ザー,28,1,1
557,手コキ,水着,28,1,0
558,言葉責め,中出し,27,26,1
559,言葉責め,癒し,27,21,0
560,言葉責め,耳舐め,27,19,1
561,言葉責め,寝取られ,27,16,5
562,言葉責め,オナニー,27,16,5
563,言葉責め,お姉さん,27,16,2
564,言葉責め,ロリ,27,16,2
565,言葉責め,焦らし,27,15,7
566,言葉責め,逆レイプ,27,14,5
567,言葉責め,逆転無し,27,14,6
568,言葉責め,フェラチオ,27,13,2
569,言葉責め,パイズリ,27,12,2
570,言葉責め,おっぱい,27,12,3
571,言葉責め,調教,27,11,6
572,言葉責め,洗脳,27,11,3
573,言葉責め,耳かき,27,11,2
574,言葉責め,連続絶頂,27,10,0
575,言葉責め,強制/無理矢理,27,10,3
576,言葉責め,人外娘/モンスター娘,27,9,0
577,言葉責め,メイド,27,9,3
578,言葉責め,少女,27,8,1
579,言葉責め,フタナリ,27,7,0
580,言葉責め,SM,27,7,6
581,言葉責め,ささやき,27,7,0
582,言葉責め,レズ/女同士,27,6,1
583,言葉責め,足コキ,27,6,1
584,言葉責め,学校/学園,27,6,0
585,言葉責め,妹,27,6,0
586,言葉責め,催眠音声,27,6,1
587,言葉責め,ギャル,27,6,1
588,言葉責め,乳首/乳輪,27,5,4
589,言葉責め,退廃/背徳/インモラル,27,5,2
590,言葉責め,貧乳/微乳,27,5,0
591,言葉責め,羞恥/恥辱,27,5,2
592,言葉責め,マニアック/変態,27,5,2
593,言葉責め,学生,27,4,0
594,言葉責め,初体験,27,4,0
595,言葉責め,ビッチ,27,4,0
596,言葉責め,年下攻め,27,4,2
597,言葉責め,恋人同士,27,3,0
598,言葉責め,複数プレイ/乱交,27,3,1
599,言葉責め,変身ヒロイン,27,3,0
600,言葉責め,百合,27,3,1
601,言葉責め,ハーレム,27,3,0
602,言葉責め,感動,27,3,0
603,言葉責め,先輩/後輩,27,3,0
604,言葉責め,サキュバス/淫魔,27,3,0
605,言葉責め,芸能人/アイドル/モデル,27,3,0
606,言葉責め,女性視点,27,3,0
607,言葉責め,女王様/お姫様,27,3,2
608,言葉責め,アナル,27,3,0
609,言葉責め,実姉,27,3,0
610,言葉責め,色仕掛け,27,3,1
611,言葉責め,巨乳/爆乳,27,3,0
612,言葉責め,フェチ,27,3,1
613,言葉責め,日常/生活,27,3,0
614,言葉責め,童貞,27,3,2
615,言葉責め,男の娘,27,2,0
616,言葉責め,処女,27,2,0
617,言葉責め,外国人,27,2,0
618,言葉責め,ローション,27,2,2
619,言葉責め,女教師,27,2,0
620,言葉責め,ファンタジー,27,2,0
621,言葉責め,屋外,27,2,0
622,言葉責め,和姦,27,2,0
623,言葉責め,シリアス,27,2,0
624,言葉責め,人妻,27,2,0
625,言葉責め,脚,27,2,1
626,言葉責め,シリーズもの,27,2,0
627,言葉責め,悪堕ち,27,2,0
628,言葉責め,天使/悪魔,27,2,0
629,言葉責め,お嬢様,27,2,0
630,言葉責め,獣耳,27,2,0
631,言葉責め,OL,27,2,0
632,言葉責め,奴隷,27,2,1
633,言葉責め,ツインテール,27,2,1
634,言葉責め,露出,27,2,0
635,言葉責め,催眠,27,2,0
636,言葉責め,魔法使い/魔女,27,2,1
637,言葉責め,年上,27,2,0
638,言葉責め,女装,27,2,0
639,言葉責め,純愛,27,2,0
640,言葉責め,健全,27,1,0
641,言葉責め,セーラー服,27,1,0
642,言葉責め,妊娠/孕ませ,27,1,0
643,言葉責め,浮気,27,1,0
644,言葉責め,同棲,27,1,0
645,言葉責め,近親相姦,27,1,0
646,言葉責め,同居,27,1,0
647,言葉責め,売春/援交,27,1,0
648,言葉責め,触手,27,1,0
649,言葉責め,くすぐり,27,1,0
650,言葉責め,着衣,27,1,1
651,言葉責め,母乳,27,1,0
652,言葉責め,輪姦,27,1,1
653,言葉責め,制服,27,1,0
654,言葉責め,けもの/獣化,27,1,0
655,言葉責め,主従,27,1,1
656,言葉責め,女体化,27,1,0
657,言葉責め,幼なじみ,27,1,1
658,言葉責め,ほのぼの,27,1,0
659,言葉責め,レイプ,27,1,1
660,言葉責め,おもちゃ,27,1,0
661,言葉責め,双子,27,1,0
662,言葉責め,おねショタ,27,1,0
663,言葉責め,ロングヘア,27,1,0
664,言葉責め,ヤンデレ,27,1,0
665,言葉責め,時間停止,27,1,0
666,言葉責め,ゲイ/男同士,27,1,0
667,言葉責め,監禁,27,1,0
668,言葉責め,妖怪,27,1,0
669,言葉責め,強気受け,27,1,0
670,言葉責め,ノーマルプレイ,27,1,1
671,言葉責め,着物/和服,27,1,0
672,言葉責め,ツルペタ,27,1,0
673,言葉責め,靴下,27,1,0
674,言葉責め,金髪,27,1,0
675,言葉責め,褐色/日焼け,27,1,0
676,言葉責め,ロボット/アンドロイド,27,1,0
677,言葉責め,ホラー,27,1,0
678,言葉責め,ラブコメ,27,1,0
679,言葉責め,ツンデレ,27,1,0
680,言葉責め,ぶっかけ,27,1,1
681,言葉責め,黒髪,27,1,0
682,言葉責め,幽霊,27,1,0
683,言葉責め,アヘ顔,27,1,0
